Team,Logo link 
Liverpool,https://resources.premierleague.com/premierleague25/badges-alt/14.svg
Arsenal,https://resources.premierleague.com/premierleague25/badges-alt/3.svg
Manchester City,https://resources.premierleague.com/premierleague25/badges-alt/43.svg
Chelsea,https://resources.premierleague.com/premierleague25/badges-alt/8.svg
Newcastle United,https://resources.premierleague.com/premierleague25/badges-alt/4.svg
Aston Villa,https://resources.premierleague.com/premierleague25/badges-alt/7.svg
Nottingham Forest,https://resources.premierleague.com/premierleague25/badges-alt/17.svg
Brighton & Hove Albion,https://resources.premierleague.com/premierleague25/badges-alt/36.svg
AFC Bournemouth,https://resources.premierleague.com/premierleague25/badges-alt/91.svg
Brentford,https://resources.premierleague.com/premierleague25/badges-alt/94.svg
Fulham,https://resources.premierleague.com/premierleague25/badges-alt/54.svg
Crystal Palace,https://resources.premierleague.com/premierleague25/badges-alt/31.svg
Everton,https://resources.premierleague.com/premierleague25/badges-alt/11.svg
West Ham United,https://resources.premierleague.com/premierleague25/badges-alt/21.svg
Manchester United,https://resources.premierleague.com/premierleague25/badges-alt/1.svg
Wolverhampton Wanderers,https://resources.premierleague.com/premierleague25/badges-alt/39.svg
Tottenham Hotspur,https://resources.premierleague.com/premierleague25/badges-alt/6.svg
Leicester City,https://resources.premierleague.com/premierleague25/badges-alt/13.svg
Ipswich Town,https://resources.premierleague.com/premierleague25/badges-alt/40.svg
Southampton,https://resources.premierleague.com/premierleague25/badges-alt/20.svg